review,rating
"mudah-mudahan cocok obat disarankan oleh Bu dokter dan terimakasih atas konsultasinya dengan Bu dokter, kita bisa hemat biaya, ngga ribet, terimakasih halodoc 🙏",5
"masak sy beli obt gk sesuai dengan di gambar (bungkus obatnya warna silver), tapi yg dikirim warna biru (harganya lebih murah) dan saya sdh punya dirumah, sdh komplain balasannya tidak masuk akal, katanya gambar hanya sampel, seharusnya pihak halodoc/apotik menelepon saya terlebih dahulu untuk menanyakan apakah saya mau atau tidak, sy marah sekali, orang dagang tidak boleh gitu!",1
"aplikasi sampah , gak jelas beli vitamin buat anak status pengiriman dalam perjalanan ko bisa berubah lagi sedang disiapkan padahal udah ada 5 hari dan sudah lewat estimasi sampai dan tidak ada notif apapun , ini obat bukan baju sangat riskan buat di main mainkan , setelah 3x beli disini sekarang saya kecewa dan tidak akan belanja lagi dihalodoc GK jelas",1
"Respon dari dokternya lama, waktu sesi 30menit, hingga sesi berakhir tidak ada penyelesaian harus seperti apa tindakannya. Mohon maaf saya kasih rating 1, semoga bisa di perbaiki kedepannya",1
"Jujur, Halodoc tuh ngebantu banget! Gak perlu ribet antre di rumah sakit, tinggal buka aplikasi, langsung bisa chat atau video call sama dokter. Responsnya cepet, jelas, dan ramah banget, jadi nggak perlu panik kalau lagi sakit. Apalagi, bisa langsung beli obat di aplikasi dan dianterin ke rumah. Praktis banget buat yang mager atau lagi gak bisa keluar rumah. Pokoknya, Halodoc solusi kesehatan paling simpel dan anti ribet. Rekomendasi banget buat yang butuh konsultasi cepat!",5
dokternya sangat baik dan membantu pasien. penjelasannya sangat jelas dan mudah dimengerti. pengiriman obat juga sangat cepat.,5
"aku udh langganan halodoc dri dulu tpi ga pernah ada masalah tpi sekarang mau konsultasi udh menghubungkan akun bank pun suruh menghubungan trus bolakbalik ga jadi jadi, org sakit dibikin emosi mau priksa doang pante' aku udh kecewa bgt mau uninstall aplikasi ga guna",1
"bnyk perubahan signifikan di aplikasi. mudah digunakan, cepat, user friendly. aplikasi yg bagus",5
pilihan dokter sangat lengkap dan bisa dipilih. cepat tidak ribet. diagnosa tepat dan tidak melesat. alhamdulilah,5
"Sangat membantu terutama saat tidak bisa pergi ke RS, pelayanan cepat, bahkan pengiriman obat pun cepat.",5
"aplikasinya bgus sih, cmn saran aja sebaiknya pembayaran, boleh via bri, bca, mandiri dll, agar lbih mudah bgi pengguna yg tdk pnya apk dana/gopay.",5
"Obat tidak semua di cover walaupun itu dr dokter nya sndri, peserta tidak jawab saat konsultasi berlangsung juga jd tidak di cover asuransi. Intinya menyusahkan, kalau bukan dr kantor ga akan mau pake aplikasi ini.",1
"tolong dong adain fitur untuk drive yg ngirim obat, klo udh ambil orderan obat tu jangan di cancel, jdi tolong adain fitur untuk tidak bisa meng-cancel orderan.ini sangat merugikan saya bngt, saya lagi butuh obat cepat tp malah di cancel trs krna hujan",4
sangat membantu sekali bagi para ibu yg mempunyai anak balita...apalagi anak balitanya tidak ada yg jaga...terimakasih sudah sangat mempermudah kami untuk konsultasi kesehatan...,5
"konsultasi tuh bayar. udh d jelasin dg sangat detail kondisi badan apa yg di derita. eh dokternya salah resepin, malah obat yg tidak boleh di resepin di masukin. untung saya feiliti. coba klo yg lain main cek out, apa gak makin parah penyakitnya. setelah saya komplain dg santai bilang sudah saya revisi gak ada omongan lain. klo gak saya cek y gak bakal di revisi",1
"awalnya nyaman banget pakai halodoc, waktu pengirimannya pakai sicepat. ketika di ganti dengan anteraja. sudah lebih 7 hari obatnya gak nyampe. yang harusnya estimasi nyanpenya hanya 3 hari kemudian.",3
"Konsultasinya nyaman bisa nanya dengan lebih tenang, cepat juga balas chatnya, dokternya juga ramah, menjelaskan secara detail, dan berpengalaman. terimakasih halodoc",5
"penanganan orderan kacau, sudah menunggu lama hampir 1 jam dari sop pengiriman, tiba tiba di batalkan padahal status sudah di pick up kurir pengantaran ! lapor cs seperti biasa template saja.",1
"mungkin emang akunya yang belum siap konsul ke psikolog mereka, atau akunya aja yang salah. tapi pas konsul sama salah satu psikolog mereka bukannya tambah tenang, malah makin dapet tekanan, hehe mungkin memang aku aja yang salah, tapi makasih buat psikolognya udah kasih saran, makanya aku kasih bintang 5",5
"Aplikasi langganan untuk konsul dan cari info obat, enaknya suka banyak diskon jadi gak bikin boncos thanks ya Halodok semoga semakin lebih baik kedepannya.",5
"ga jelas dokternya, saya sudah bayar tapi tiba2 muncul notifikasi dokter sibuk, trus tiba2 chatnya berakhir dan uang tidak kembali",1
"saya gak tau apakah saya yang salah pilih dokter atau bagaimana tapi setiap konsultasi online kebetulan ketemu dokter yang menjawab ala kadarnya.. saya konsultasi karena saya butuh tapi dijawabnya sangat tidak memuaskan hanya sekedarnya tanpa penjabaran yang jelas, saya tidak tau itu yang menjawab memang dokternya atau adminnya halodoc. terimakasih",3
"dokter ramah oke sih pingin nanya lebih, keburu sistem putus, perpanjang aja klu pertanyaan blum selesai, asal ada saldo gopay ny",5
"sangat Helpful!!! Terima kasih yaa, sangat menghemat waktu dan respon dokternya juga baik. resep obatnya juga manjur sekalii. thank u ya😍 semoga kedepannya tambah keren lagi",5
"3 kali pesan obat gagal terus udah payment masih tetap dari mulai yang biasa sampai yang instan gagal terus. kalo emang ga bisa harusnya bisa di infokan ini nungguin Berjam-jam terus malahan tercancel. Padahal orang beli kesini biar lebih mudah dan cepat, estimasi 1 jam ini nyari driver bisa lebih 3 jam. tolong diperbaiki. setelah dilihat-lihat dari testimoni ternyata emang ga ada yang berubah ya, padahal udah banyak keluhan yang sama tapi tetep ga ada perubahan. tau gitu ga usah Adain fiturnya.",1
obat yg diresepkan tidak ada dikota bandung percuma pakai asuransi. kalau resep obatnya tidak bisa digunakan. sudah berulangkali. aplikasi yg sangat mengecewakan.,1
"cukup membantu, tapi memang lebih efektif ketika bertemu lansung dengan dokternya sehingga bisa di diagnosa secara lebih akurat",5
"untuk area Sukabumi, mohon ditambahkan apotek yang di daerah kota Sukabumi agar lebih dekat sehingga saat obat dibutuhkan bisa cepat diterima. Saat ini, pengiriman selalu dari daerah Cibadak kab Sukabumi dan sangat jauh dari lokasi kota Sukabumi.",4
"Halodoc sangat² membantu ketika butuh obat, vitamin tp sedang tidak bisa datang langsung ke RS atau apotik, Dan untuk dokternya ramah² cepet responnya, terimakasih halodoc.",5
🙂‍↕️ ya membantu sekali nih aplikasi ..yg mager buat anteri apalagi pke bpjs 🙂‍↕️ mau nanya2 berasa diburu2 maklum sih banyak pasien nya .,5
"pelayanan dokter nya sangat membantu, meskipun malam hari sy chat tp dokternya ttp memberikan pemjelasan yg jelas...terimakasih halo doc",5
mempermudah saya untuk konsultasi lebih sering ketika ada keluhanan kesehatan di keluarga,5
"jujur,ngebantu banget,respon dari dokternya baik,lope deh,semoga terus lancar ya halodock",5
sangat membantu untuk yang tinggal sendirian kalau lagi ada keluhan kesehatan,5
aplikasi sangat membantu jika ada keadaan darurat dan sakit ringan. juga bisa konsultasi ke psikolog dan psikiater,5
"dokternya tidak mengerti sama sekali,sakit parah malah di kasih 1 hari padahal sudah rekomen 2 hari bahkan obatnya mahal mahal,lebih teliti lagi halodoc",1
Penjelasan dokter nya sangat mudah di mengerti dan cukup ramah,5
sangat membantu sekali kala perlu info jelas dan akurat tentang kesehatan,5
"aplikasi Halodok bagus, mudah dimengerti, terima kasih halodoc.",5
"sangat membantu untuk tindakan pertama kalau tidak bisa pergi ke klinik karena saya migrain susah bangun dari tempat tidur, belum lagi antri di klinik",5
"pls halodoc bisa ga sih kalo kita ketinggalan sesi itu duitnya di balikin?? masa iya dokternya ga di respon 2 menit langsung di cansel? uda 2 kali loh saya kaya gini rugi bgtt huftt, setidaknya kalau ga di balikin duitnya kaya atur lagi aja gitu sesinya",1
"Sudah cukup terbantu dgn Halodoc ini, bbrp kali beli obat jg disini. Cuma hari ini baru tau, ternyata ongkir instan yg sy bayar gak full masuk ke driver. Sy tau ada potong aplikasi, cuma kok sebanyak itu. Sy gak tau ini pihak halodoc ikut memotong ongkir atau tidak. Cuma plis, kalaupun iy ikut memoton tolong PERBAIKI. Barusan obat sy diantar oleh bpk yg sdh sepuh, dapat apotek yg lumayan jauh, beliau cuma dpt 11rb. Padahal sy bayar ongkir 23rb. Kalau begini pantas kurir jarang mau ambil. Sedih..",3
"halodoc sangat membantu utk membeli obat yg jarang ada diapotik umum, pengiriman sangat cepat lgsng diproses dan hrg sangat bersaing, trima kasih halodoc",5
"saya coba instal karena mau nyoba konsultasi masalah kulit saya, tapi pas udah berhasil masuk kok gabisa di klik ya opsi² nya seperti chat dokter dll., hampir semua opsi nya gabisa di klik padahal udah instal ulang dan update juga tetap saja begitu, padahal sinyalnya juga bagus kok. itu kenapa yaa",3
enak aplikasi sdh di perbaiki. konsultasi mudah dan dapat dilakukan dimana saja,5
"Sangat membantu ketika posisi sedang diluar kota kondisi badan kurang fit,susah cari dokter,butuh obat yg sesuai dosis,jd terbantu sekali dengan aplikasi ini. Super Thanks To Halodoc 😀😇",5
"aplikasi sangat membantu sekali, dan pelayanannya cepat",5
"aplikasi yang sangat membantu untuk pasien² dengan keluhan ringan tanpa harus keluar rumah, semoga semakin sukses dan maju terus halodoc",5
"Saya sgt sering menggunakan halodoc utk konsultasi, tapi sudah 2x ini saya dpt pengalaman tdk enak. Saya sudah bayar 59rb, bagi saya itu tdk sedikit, tapi WAKTU 30 MENIT SAYA TIDAK CUKUP DAN PUAS krn dokter yg slowrespon. Masih ada yg ingin saya tanya, baik sakitnya atau obatnya tapi sesi sudah selesai. TOLONG JANGAN 30 MENIT SAJA, TAPI LEBIH!",3
sangat memuaskan dokternya ramah cepat tanggap dan langsung memberikan solusi puass bangett,5
"Suka sih, tapi dengan waktu chat yang singkat ditambah jeda dari dokternya buat analisis dan mengetik.. jdi saya blm dapat resep obat udah selesai sesi chatnya... harus bayar lagi... ini bukan permainan kan?",5
lebih mudah dan puas konsultasi dan lebih lama obatnya juga sesuai yg dibutuhkan dgn yg dikonsultasikan,5
dokter cepat merespon dan memberikan penjelasan penyakit dengan baik serta merekomendasikan obat dengan penjelasan cara pemakaian nya dengan jelas,5
"penggunaan apps mudah, dokter jg sangat responsif, best",5
suka banget sama tim halodoc yg selalu jadi andalan utama untuk konsultasi seputar kesehatan dan segala permasalahan kulitku🫶🏻😘,5
"respon lama, saran lama, keburu habis waktunya buat nunggu respon dokternya, endingnya g dpet saran apa apa, tlong dong merugikan bgt, sia sia jg",1
terimakasih Halodoc. sangat membantu sekali aplikasinya untuk yg lokasinya jauh dari rumah sakit.,5
Bantu banget apalagi kalau kena penyakit yang langganan kyk batuk pilek amandel dll.. nggak usah ngantri dan bisa kapan aja.,5
"dokter penyakit dalam dr.icha sungguh ramah dan menjelaskan dengan sangat baik dan detail, dukungan dan saran Beliau sangat membantu saya untuk semangat biar sembuh.. makasihh dok..",5
Semua sudah tersambung bahkan Asuransi kesehatan. tapi kenapa pas buka menu profil tiba2 keluar sendiri? tolong di bantu.,5
dokternya ramah& penjelasannya juga sangat mendetail..semoga cocok dan hasilnya memuaskan,5
"Aplikasi dapat digunakan dengan baik, hanya untuk download pdfnya agak lama, mungkin karena banyak pengguna aplikasinya",5
"sangat membantu pasien yg sakit tidak bisa keluar,atau keadaan badan yg kurang kuat untuk berjalan.",5
"sangat membantu dlm kondisi darurat, cepat, praktis g perlu antri lama, obatnya jg cpt dikirim",5
"sangat membantu, untuk konsultasinya sangat jelas dan juga gercep untuk meresepkan obat.",5
"saya beli obat , malah di batalkan oleh sistem yang kocak itu saya udah bayar ongkir nya malah di balikin nya ke apk nya padahal saya bayar ongkir nya lewat mbanking anehhh",1
"bagus, untuk meminimalisir waktu yang terbuang dan bisa dapat saran sebelum ke langkas berikutnya",5
"informasi tidak clear diawal, seperti menjebak customer untuk melakukan pembayaran. CS tidak profesional mematikan telepon ketika melakukan complaint dan tidak memberikan solusi",1
"JELEK BANGET PELAYANAN HALODOC SANGAY SANGAT KECEWA!!!!! OBAT YANG DIRESEPKAN TIDAK TERSEDIA TAPI TIDAK LANGSUNG DIPROSES SEGERA OBAT PENGGANTINYA, AKHIRNYA ANAK SAYA BELUM BISA DIKASIH OBAT TELPON CUSTOMER SERVICE PUN TIDAK ADA SOLUSI TERBAIK!!!!!!!!!!!!!!!!!!!!!!!!!",1
"dari yang saya baca riview nya, mungkin bisa ditambahkan waktunya menjadi 1 jam ?.mungkin saja, ada orang yang ingin tanya ke dokter psikiater dengan waktu lama, jadi lebih baik di tambahkan waktunya",3
"saya puas dengan aplikasi ini karena sangat membantu saya sekali disaat anak saya sedang sakit , terima kasih ..",5
Sangat bermanfaat semoga bisa bertambah lagi fasilitas yg bekerja sama dengan asuransi medicilin. Seperti pelayanan home care atau therapy di rumah.,5
dokternya ramah dan tidak hanya fokus ke penyakitnya tapi kebiasaan sebelumny jd rekomendasi obatny tokcer langsung mendingan terimakasih halodoc,5
"sangat membantu, dan mempermudah orang sakit sembuh. terimakasih creator halodo, sukses terus yeah",5
penjelasan dr dokter2 yg berpengalaman dibidangnya sehingga sangat membantu sy sebagai pasien yg membutuhkan konsultasi secara pribadi,5
"sangat membantu kalau bingung lagi sakit apa, dokter-dokter nya ramah dan sabar menanggapi pertanyaan. makasih yang udah ciptain app ini 😭🙏🏻",5
terbaik. kalo mau konsultasi bisa pilih dokternya sesuai keinginan dan kebutuhan.,5
"udah lama terbantu dgn aplikasi ini, klo mendadak tengah malam sakit, di Jakarta. Dan lebaran thn ini sudah support di kota kecil Jombang, Jatim. sebelum2nya blm bisa pengiriman instant, skrg udah bisa. terima kasih. semoga segera berlanjut ke dusun2 kecil di kabupaten Magetan. soalnya lebarannya di 2 tempat itu 😁😁",5
"aku uninstal apk ini, dl sblm covid sring pke apk ini buat konsul dokter, enk bner2 kaya lg chat sm tmn, skrg autotext bkin gk nyambung ☹️ kesel gk sesuai keinginan mana udh bayar",1
"berobat praktis, cepat dan tepat. ditangani oleh dokter yang berpengalaman dan profesional.",5
"sejak bisa terkoneksi dengan asuransi kantor, jadi lebih mudah dan memudahkan kami. terima kasih",5
Bagus dan sangat membantu. Apalagi untuk di daerah pedalaman kaya saya.,5
"Udah 2 jam saya tunggu pengiriman obat saya, gak ada yang bisa di hubungi. Drivernya juga gak bisa dihubungi, tidak ada fitur chat untuk apotek atau driver di apk🤦‍♀️🤦‍♀️, ataupun pembatalan pembeliian obatnya...",1
berkonsultasi dan menerima arahan yg bagus diaplikasi ini sangat membantu sekali.. terimakasih,5
"bagusss, sangat membantu ketika tidak ada waktu untuk konsul dokter offline",5
"membantu banget jadi gak perlu ke rs, jauh lebih murah dan hemat waktu",5
"Aplikasi Halo penipu emang parah, dulu pesen obat bisa tuh langsung di kirim,skrng beli obat harus nunggu berhari hari.di pelacakan juga ga jelas. hapus aja tuh aplikasi kalo ga niat bikin aplikasi yg membantu masyarakat.",1
"aplikasi bagus sederhana, cepat dan infonya bermanfaat",5
buat mendesak rekomen bgt deh aplikasinya bagus sesuai keluhan pasti lngsung ada solusi mantapp👍,5
aplikasi anehh ! verifikasi ktp sama wajah gagal terus akun malah di blokir !!! ktp jelas padahl !!!!,1
Sangat membantu. Tidak perlu antri ke dokter. Langsung bisa chat dokternya lalu dapat resep,5
untuk daerah jabodetabek aplikasi sdah beroperasi dengan baik,5
"tanggapan nya baik,semoga resep nya cocok buat muka aku dan ada perubahan nya",5
bagus bre buat saya yang malas keluar rumah karena dr.nya jauh di kota sedangkan saya di kampung tapi punya keluhan kesehatan,5
parah siihh...seperti biasa kesalahan tidak diperbaiki..paket saya tertulis estimasi tiba tanggal 3 maret..tapi sampai saat ini paket saya belum tiba...dan jawaban dari pihak halodoc hanya minta maaf terus tapi tidak ada perbaikan...parahh memang..dan tidak ada pemberitahuan paket saya berada dimana sampai saat ini..padahal pesanan sudah dibayar...tidak bertanggung jawab memang,1
"Aplikasinya sangat buruk.. saya pesan obat di aplikasi ini, lewat estimasi tapi obat saya belum sampai.. Tidak ada nama toko, tidak ada kontak kurir, saya tidak tau harus menghubungi siapa.. tolong kembalikan uang saya.. aplikasinya sangat mengecewakan, penipu",2
"Aku selalu pesan obat di halodoc meski harganya lebih mahal dibandingkan ditoko offline waktu pembayaran cuma 10menit tp transaksi terakhir saya sudah terbayarkan tp ga masuk di pesanan saya, saya komplain lewat tlp padahal jaringan bagus malah dijawab cuma halo² saja dibilang ga ada respon, sorry to say halodoc uninstal bintang 1 ga worth it",1
"Saya cukup kecewa karena dokter slow respon sedangakan waktu yang diberikan terbatas, jika seandainya dokter tidak bisa sepenuh nya memberikan waktu untuk berkonsultasi sebaiknya tidak usah menerima layanan. Dari hasil konsultasi tetakhir, banyak pertanyaan yang belum terjawab namun waktu konsultasi sudah berakhir secara otomatis karena dokter yang slow respon. Dengan biaya yang sudah dikeluarkan, saya cukup kecewa dengan pelayanan yang diberikan. Semoga bisa jadi bahan perbaikan kdepannya.",3
"Ketika membuka aplikasi dan mengajukan klaim reinbersment, Layar tidak penuh sehingga text atau fitur terpotong.. Mohon di perbaiki",2
"Aplikasi sangat membantu, akan lebih baik jika aplikasi dapat mengatur jarak maksimal pengiriman, kesian driver nya, contoh, kalau kirim obat dari jaksel ke tangerang, padahal hanya obat yang kira nya banyak tersedia di apotek biasa, terimakasih, mohon ditingkatkan aplikasinya",5
"sebenernya aplikasi ini bagus, cuman ada kendala yaitu ketika saya bayar ternyata dokter nya offline, kalau begitu masa uang saya ga kembali sangat mengecewakan, dan saya akhirnya ganti dokter lagi dan itu pun jadinya bayar 2 kali",2
"saya gatau mau konfirmasi ke siapa lagi karena udah nyari di apk gaada cs nya plis halodoc kamu apk yg berpotensi besar but, kenapa harus sejauh itu buat nyari apotik terdekat? apakah karena gaada mitra? dan untuk pengirimannya tolong diperbaiki lagi saya sudah seminggu paket ga terkirim terkahir ada di hub terusss ga jalan jalannn tolonggg itu obatttt saya beli di kamu juga lumayan harganya tolong ganti ekspedisiiiiii dan perbaiki cs nya. makasih",3
"Halo, coba keamanan data diperketat lagi saya merasa ga login di aplikasi kok tiba tiba ada kode otp yang masuk!!! Tolong ya sistemnya dibenerin saya merasa ga login soalnya.",2
"Udah tunggu lama tiba"" dapat notif pembelian dibatalkan. Uang balik ke saldo halodoc, tp tidak ada icon saldo hallodoc. Jadi gak bisa tarik saldo. Padahal sudah pakai versi terbaru",1
"Aplikasinya bagus, mudah digunakan, banyak pilihan obat yang bisa dibeli, pengiriman cepat, dan deskripsi nya lengkap. Untuk kedepannya bisa tambahkan pembayaran COD, tambahkan opsi untuk membuat alamat penerima secara manual, dan perluas lagi jangkauan layanannya seperti dokter yang bisa dipanggil ke rumah karena mungkin beberapa orang tidak punya waktu atau ada hal lain yang membuat nya tidak bisa ke Fasilitas Kesehatan. Itu saja untuk saat ini👍👍👍👍",4
"JELEK BGT, buat aku yg baru aja nyoba app ini, gatau klo sesi konsultasi haloskin cm 30 menit, mn dokternya jawab lama dan aku udh jelasin permasalahan kulit ku di awal tp blm sempet di resepin obat, malah nanya ""mau diresepkan obat?"" ya jelas iya lah, gunanya aku pke app ya buat cari solusi, dmn solusinya bisa berupa resep obat!!! GILA",1
Parah udah nunggu lama gak bisa d tracking pesanan pas liat udah dikembalikan karena penerima tak bisa ditelpon padahal gaka ada telpon sama sekali payah nih disaat darurat lagi,1
"Ini aplikasi nipu customer, saya sambungkan dengan asuransi saat pertama kali coba biaya konsul dan obat gratis, setelah itu saya coba kembali konsul utk beli obat yg sama, info ya biaya gratis tercover oleh asuransi, setelah selesai konsul muncul tagihan yg infonya bayar jumlah tagihan yg di tolak. Aneh banget diagnosa sama obat juga sama tp yg kedua diminta biaya, saya coba ketiga kali hasilnya sama padahal plafond asuransi saya masih ada 2juta",1
"Sedikit saran aja sih, untuk pengiriman ada baiknya lebih ditingkatkan/perbaharui lagi. Kasihan kami yang diluar jabodetabek membeli obat dihalodoc pengirimannya lama banget dan kurang update dari lacak pesanannya. Mohon diperbaiki lagi🙏",4
